ID_Penjualan,Tanggal_Penjualan,ID_Produk,Jumlah_Terjual,Total_Pendapatan
1,2024-12-03,101,50,15000000
2,2024-12-04,102,30,7500000
3,2024-12-05,103,40,20000000
4,2024-12-06,104,60,27000000
5,2024-12-07,105,20,14000000
6,2024-12-08,101,50,15000000
7,2024-12-09,102,30,7500000
8,2024-12-10,103,40,20000000
9,2024-12-11,104,60,27000000
10,2024-12-12,105,20,14000000
11,2024-12-13,101,50,15000000
12,2024-12-14,102,30,7500000
13,2024-12-15,103,40,20000000
14,2024-12-16,104,60,27000000
15,2024-12-17,105,20,14000000
16,2024-12-18,101,50,15000000
17,2024-12-19,102,30,7500000
18,2024-12-20,103,40,20000000
19,2024-12-21,104,60,27000000
20,2024-12-22,105,20,14000000
